week,day,mold_code,plan_qty
1,1,8412,90
1,1,8573,105
1,1,8600,53
1,2,8412,90
1,2,8573,105
1,2,8600,53
1,3,8412,90
1,3,8573,105
1,3,8600,53
1,4,8412,90
1,4,8573,105
1,4,8600,53
1,5,8412,90
1,5,8573,105
1,5,8600,53
1,6,8412,90
1,6,8573,105
1,6,8600,53
1,7,8412,90
1,7,8573,105
1,7,8600,53
2,1,8722,106
2,1,8917,0
2,2,8722,106
2,2,8917,0
2,3,8722,106
2,3,8917,0
2,4,8722,106
2,4,8917,0
2,5,8722,106
2,5,8917,0
2,6,8722,106
2,6,8917,0
2,7,8722,106
2,7,8917,0
3,1,8412,90
3,1,8573,105
3,1,8600,53
3,2,8412,90
3,2,8573,105
3,2,8600,53
3,3,8412,90
3,3,8573,105
3,3,8600,53
3,4,8412,90
3,4,8573,105
3,4,8600,53
3,5,8412,90
3,5,8573,105
3,5,8600,53
3,6,8412,90
3,6,8573,105
3,6,8600,53
3,7,8412,90
3,7,8573,105
3,7,8600,53
4,1,8722,106
4,1,8917,0
4,2,8722,106
4,2,8917,0
4,3,8722,106
4,3,8917,0
4,4,8722,106
4,4,8917,0
4,5,8722,106
4,5,8917,0
4,6,8722,106
4,6,8917,0
4,7,8722,106
4,7,8917,0
